Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
code-generator-hoodie,Code Generator Hoodie,Stay warm while building with AI. Premium quality hoodie for developers.,The Merch Concept,Hoodies,"ai, hoodie, code",TRUE,Size,S,LVB-HOODIE-CODE-S,500,shopify,50,continue,manual,64.99,TRUE,TRUE,active
code-generator-hoodie,Code Generator Hoodie,Stay warm while building with AI. Premium quality hoodie for developers.,The Merch Concept,Hoodies,"ai, hoodie, code",TRUE,Size,M,LVB-HOODIE-CODE-M,500,shopify,50,continue,manual,64.99,TRUE,TRUE,active
code-generator-hoodie,Code Generator Hoodie,Stay warm while building with AI. Premium quality hoodie for developers.,The Merch Concept,Hoodies,"ai, hoodie, code",TRUE,Size,L,LVB-HOODIE-CODE-L,500,shopify,50,continue,manual,64.99,TRUE,TRUE,active
code-generator-hoodie,Code Generator Hoodie,Stay warm while building with AI. Premium quality hoodie for developers.,The Merch Concept,Hoodies,"ai, hoodie, code",TRUE,Size,XL,LVB-HOODIE-CODE-XL,500,shopify,50,continue,manual,64.99,TRUE,TRUE,active
code-generator-hoodie,Code Generator Hoodie,Stay warm while building with AI. Premium quality hoodie for developers.,The Merch Concept,Hoodies,"ai, hoodie, code",TRUE,Size,XXL,LVB-HOODIE-CODE-XXL,500,shopify,30,continue,manual,64.99,TRUE,TRUE,active
lovable-sticker-pack,Lovable Sticker Pack,Set of 10 premium vinyl stickers. Perfect for laptops and tech gear.,The Merch Concept,Stickers,"stickers, accessories",TRUE,,,LVB-STICKER-PACK,10,shopify,200,continue,manual,9.99,TRUE,TRUE,active
ai-developer-tee,AI Developer Tee,Show your AI developer pride. Made from high-quality cotton blend.,The Merch Concept,T-Shirts,"ai, tshirt, developer",TRUE,Size,S,LVB-TEE-DEV-S,200,shopify,100,continue,manual,27.99,TRUE,TRUE,active
ai-developer-tee,AI Developer Tee,Show your AI developer pride. Made from high-quality cotton blend.,The Merch Concept,T-Shirts,"ai, tshirt, developer",TRUE,Size,M,LVB-TEE-DEV-M,200,shopify,100,continue,manual,27.99,TRUE,TRUE,active
ai-developer-tee,AI Developer Tee,Show your AI developer pride. Made from high-quality cotton blend.,The Merch Concept,T-Shirts,"ai, tshirt, developer",TRUE,Size,L,LVB-TEE-DEV-L,200,shopify,100,continue,manual,27.99,TRUE,TRUE,active
ai-developer-tee,AI Developer Tee,Show your AI developer pride. Made from high-quality cotton blend.,The Merch Concept,T-Shirts,"ai, tshirt, developer",TRUE,Size,XL,LVB-TEE-DEV-XL,200,shopify,100,continue,manual,27.99,TRUE,TRUE,active
ai-developer-tee,AI Developer Tee,Show your AI developer pride. Made from high-quality cotton blend.,The Merch Concept,T-Shirts,"ai, tshirt, developer",TRUE,Size,XXL,LVB-TEE-DEV-XXL,200,shopify,50,continue,manual,27.99,TRUE,TRUE,active
build-fast-hoodie,Build Fast Hoodie,For developers who ship quickly. Premium hoodie celebrating rapid development.,The Merch Concept,Hoodies,"ai, hoodie, developer",TRUE,Size,S,LVB-HOODIE-FAST-S,500,shopify,50,continue,manual,62.99,TRUE,TRUE,active
build-fast-hoodie,Build Fast Hoodie,For developers who ship quickly. Premium hoodie celebrating rapid development.,The Merch Concept,Hoodies,"ai, hoodie, developer",TRUE,Size,M,LVB-HOODIE-FAST-M,500,shopify,50,continue,manual,62.99,TRUE,TRUE,active
build-fast-hoodie,Build Fast Hoodie,For developers who ship quickly. Premium hoodie celebrating rapid development.,The Merch Concept,Hoodies,"ai, hoodie, developer",TRUE,Size,L,LVB-HOODIE-FAST-L,500,shopify,50,continue,manual,62.99,TRUE,TRUE,active
build-fast-hoodie,Build Fast Hoodie,For developers who ship quickly. Premium hoodie celebrating rapid development.,The Merch Concept,Hoodies,"ai, hoodie, developer",TRUE,Size,XL,LVB-HOODIE-FAST-XL,500,shopify,50,continue,manual,62.99,TRUE,TRUE,active
build-fast-hoodie,Build Fast Hoodie,For developers who ship quickly. Premium hoodie celebrating rapid development.,The Merch Concept,Hoodies,"ai, hoodie, developer",TRUE,Size,XXL,LVB-HOODIE-FAST-XXL,500,shopify,30,continue,manual,62.99,TRUE,TRUE,active
gradient-logo-sticker,Gradient Logo Sticker,Holographic sticker with stunning gradient effect. Weather-resistant vinyl.,The Merch Concept,Stickers,"stickers, logo",TRUE,,,LVB-STICKER-LOGO,5,shopify,300,continue,manual,4.99,TRUE,TRUE,active
ai-powered-tee,AI Powered Tee,Celebrate the AI revolution. Comfortable cotton blend fabric.,The Merch Concept,T-Shirts,"ai, tshirt",TRUE,Size,S,LVB-TEE-POWERED-S,200,shopify,100,continue,manual,31.99,TRUE,TRUE,active
ai-powered-tee,AI Powered Tee,Celebrate the AI revolution. Comfortable cotton blend fabric.,The Merch Concept,T-Shirts,"ai, tshirt",TRUE,Size,M,LVB-TEE-POWERED-M,200,shopify,100,continue,manual,31.99,TRUE,TRUE,active
ai-powered-tee,AI Powered Tee,Celebrate the AI revolution. Comfortable cotton blend fabric.,The Merch Concept,T-Shirts,"ai, tshirt",TRUE,Size,L,LVB-TEE-POWERED-L,200,shopify,100,continue,manual,31.99,TRUE,TRUE,active
ai-powered-tee,AI Powered Tee,Celebrate the AI revolution. Comfortable cotton blend fabric.,The Merch Concept,T-Shirts,"ai, tshirt",TRUE,Size,XL,LVB-TEE-POWERED-XL,200,shopify,100,continue,manual,31.99,TRUE,TRUE,active
ai-powered-tee,AI Powered Tee,Celebrate the AI revolution. Comfortable cotton blend fabric.,The Merch Concept,T-Shirts,"ai, tshirt",TRUE,Size,XXL,LVB-TEE-POWERED-XXL,200,shopify,50,continue,manual,31.99,TRUE,TRUE,active
developer-cap,Developer Cap,Adjustable cap with embroidered logo. One size fits most.,The Merch Concept,Accessories,"accessories, cap",TRUE,Size,One Size,LVB-CAP-DEV,100,shopify,75,continue,manual,24.99,TRUE,TRUE,active
coding-mug,Coding Mug,Ceramic mug perfect for coffee or tea. Microwave and dishwasher safe.,The Merch Concept,Accessories,"accessories, mug",TRUE,Size,11oz,LVB-MUG-CODING,400,shopify,150,continue,manual,16.99,TRUE,TRUE,active
keyboard-stickers,Keyboard Stickers,Premium vinyl keyboard stickers. Easy to apply and remove.,The Merch Concept,Stickers,"stickers, keyboard",TRUE,,,LVB-STICKER-KEYBOARD,10,shopify,200,continue,manual,7.99,TRUE,TRUE,active
tech-tote-bag,Tech Tote Bag,Durable canvas tote bag. Perfect for carrying your laptop and tech gear.,The Merch Concept,Accessories,"accessories, bag",TRUE,Size,One Size,LVB-TOTE-TECH,300,shopify,100,continue,manual,19.99,TRUE,TRUE,active
